Configuration: SHA-512 8 2 1000
Iteration 1: 0.000162417 0.002729375 0.000690542 0.000566250
Iteration 2: 0.000042917 0.000726958 0.000794833 0.000362167
Iteration 3: 0.000038667 0.000542500 0.000485292 0.000642917
Iteration 4: 0.000015166 0.000613041 0.000725875 0.000282125
Iteration 5: 0.000012292 0.000511125 0.000536250 0.000624334
Iteration 6: 0.000012083 0.000466750 0.000684458 0.000439542
Iteration 7: 0.000012375 0.000716084 0.000548625 0.000285375
Iteration 8: 0.000012625 0.000276291 0.000188250 0.000119875
Iteration 9: 0.000011584 0.000204791 0.000262792 0.000119041
Iteration 10: 0.000016792 0.000179208 0.000174875 0.000219250
Iteration 11: 0.000011583 0.000231292 0.000253042 0.000156958
Iteration 12: 0.000022959 0.000214291 0.000153792 0.000205708
Iteration 13: 0.000012292 0.000207833 0.000209208 0.000153708
Iteration 14: 0.000011625 0.000222000 0.000239000 0.000119708
Iteration 15: 0.000012042 0.000216958 0.000170791 0.000184500
Iteration 16: 0.000012250 0.000165042 0.000194666 0.000222500
Iteration 17: 0.000011833 0.000258667 0.000185667 0.000154167
Iteration 18: 0.000012792 0.000159042 0.000211167 0.000266208
Iteration 19: 0.000014000 0.000233542 0.000177917 0.000117042
Iteration 20: 0.000012375 0.000156792 0.000191709 0.000160625
Iteration 21: 0.000012083 0.000191292 0.000184083 0.000106458
Iteration 22: 0.000011541 0.000225000 0.000185417 0.000079500
Iteration 23: 0.000012041 0.000188333 0.000162083 0.000131250
Iteration 24: 0.000012000 0.000153166 0.000146959 0.000188667
Iteration 25: 0.000011625 0.000196250 0.000166292 0.000127875
Iteration 26: 0.000014333 0.000246875 0.000158625 0.000100208
Iteration 27: 0.000011917 0.000148584 0.000206875 0.000117834
Iteration 28: 0.000012084 0.000215250 0.000136375 0.000144042
Iteration 29: 0.000012500 0.000222000 0.000168292 0.000101791
Iteration 30: 0.000011875 0.000169667 0.000227792 0.000083166
Iteration 31: 0.000013542 0.000196834 0.000122875 0.000144417
Iteration 32: 0.000030917 0.000146291 0.000134584 0.000298458
Iteration 33: 0.000014708 0.000137625 0.000144458 0.000200000
Iteration 34: 0.000013000 0.000131458 0.000167833 0.000157417
Iteration 35: 0.000011292 0.000200500 0.000171417 0.000093084
Iteration 36: 0.000011583 0.000189875 0.000147125 0.000162167
Iteration 37: 0.000011875 0.000227792 0.000162667 0.000076416
Iteration 38: 0.000011042 0.000134917 0.000190667 0.000121417
Iteration 39: 0.000011417 0.000198291 0.000140833 0.000126083
Iteration 40: 0.000011416 0.000121666 0.000147291 0.000179625
Iteration 41: 0.000011125 0.000179000 0.000181792 0.000094458
Iteration 42: 0.000015084 0.000170875 0.000205875 0.000095083
Iteration 43: 0.000010958 0.000170583 0.000157500 0.000208042
Iteration 44: 0.000012000 0.000232542 0.000197042 0.000084958
Iteration 45: 0.000011417 0.000144208 0.000187833 0.000189792
Iteration 46: 0.000010958 0.000139416 0.000224667 0.000169084
Iteration 47: 0.000011542 0.000207833 0.000154583 0.000154917
Iteration 48: 0.000013625 0.000184583 0.000151125 0.000179583
Iteration 49: 0.000011167 0.000189708 0.000198458 0.000083042
Iteration 50: 0.000011334 0.000209042 0.000206250 0.000056500
Iteration 51: 0.000011125 0.000188042 0.000222875 0.000058708
Iteration 52: 0.000011042 0.000137417 0.000189959 0.000174500
Iteration 53: 0.000016333 0.000202333 0.000155958 0.000111708
Iteration 54: 0.000011208 0.000147208 0.000175500 0.000193125
Iteration 55: 0.000011875 0.000178250 0.000187542 0.000098125
Iteration 56: 0.000011209 0.000142209 0.000172667 0.000180125
Iteration 57: 0.000010875 0.000120458 0.000149792 0.000187708
Iteration 58: 0.000011333 0.000192583 0.000237667 0.000057542
Iteration 59: 0.000011834 0.000148583 0.000189250 0.000095833
Iteration 60: 0.000011667 0.000165125 0.000191959 0.000083875
Iteration 61: 0.000010875 0.000147834 0.000120333 0.000179666
Iteration 62: 0.000010375 0.000172167 0.000161000 0.000111750
Iteration 63: 0.000010750 0.000119458 0.000202125 0.000143125
Iteration 64: 0.000011083 0.000159875 0.000149584 0.000165292
Iteration 65: 0.000010708 0.000173125 0.000125125 0.000139500
Iteration 66: 0.000010750 0.000138208 0.000113625 0.000187708
Iteration 67: 0.000010458 0.000153625 0.000209125 0.000078250
Iteration 68: 0.000010667 0.000167042 0.000163000 0.000104250
Iteration 69: 0.000010666 0.000118208 0.000126500 0.000193833
Iteration 70: 0.000010375 0.000148083 0.000136292 0.000151875
Iteration 71: 0.000010625 0.000214292 0.000167917 0.000061541
Iteration 72: 0.000010709 0.000131459 0.000209083 0.000095417
Iteration 73: 0.000010416 0.000169917 0.000136625 0.000135416
Iteration 74: 0.000010667 0.000172625 0.000122500 0.000230125
Iteration 75: 0.000018709 0.000194125 0.000141709 0.000147917
Iteration 76: 0.000011709 0.000210750 0.000165209 0.000101708
Iteration 77: 0.000010750 0.000143959 0.000216958 0.000080042
Iteration 78: 0.000010834 0.000216042 0.000180333 0.000063958
Iteration 79: 0.000011334 0.000141084 0.000138125 0.000178708
Iteration 80: 0.000011417 0.000213000 0.000209208 0.000032375
Iteration 81: 0.000011000 0.000169750 0.000120625 0.000166292
Iteration 82: 0.000011208 0.000160833 0.000159750 0.000137125
Iteration 83: 0.000010833 0.000123333 0.000188959 0.000150500
Iteration 84: 0.000011250 0.000137583 0.000120834 0.000203125
Iteration 85: 0.000011166 0.000179625 0.000124500 0.000153542
Iteration 86: 0.000010792 0.000152584 0.000221166 0.000084667
Iteration 87: 0.000011167 0.000220792 0.000213125 0.000017416
Iteration 88: 0.000011250 0.000209333 0.000123042 0.000122541
Iteration 89: 0.000010834 0.000119500 0.000159833 0.000171000
Iteration 90: 0.000011125 0.000127333 0.000217500 0.000115167
Iteration 91: 0.000010875 0.000205584 0.000154875 0.000095750
Iteration 92: 0.000011208 0.000161667 0.000201166 0.000092709
Iteration 93: 0.000011166 0.000167666 0.000154083 0.000129083
Iteration 94: 0.000010875 0.000164458 0.000159625 0.000127084
Iteration 95: 0.000016875 0.000202458 0.000207167 0.000047500
Iteration 96: 0.000012458 0.000129667 0.000215417 0.000123250
Iteration 97: 0.000016084 0.000173791 0.000204458 0.000096875
Iteration 98: 0.000011041 0.000207792 0.000147000 0.000103833
Iteration 99: 0.000014125 0.000141250 0.000212208 0.000096375
Iteration 100: 0.000014959 0.000158417 0.000203500 0.000075334
Iteration 101: 0.000003791 0.000193000 0.000144584 0.000098667
Iteration 102: 0.000002583 0.000197333 0.000203958 0.000039500
Iteration 103: 0.000002625 0.000154709 0.000132750 0.000154625
Iteration 104: 0.000002667 0.000200208 0.000129083 0.000109209
Iteration 105: 0.000002625 0.000152667 0.000197792 0.000089542
Iteration 106: 0.000009458 0.000184000 0.000175792 0.000082542
Iteration 107: 0.000002792 0.000184084 0.000208667 0.000044667
Iteration 108: 0.000007791 0.000132666 0.000181167 0.000124917
Iteration 109: 0.000002333 0.000161708 0.000142250 0.000132958
Iteration 110: 0.000002250 0.000118167 0.000136250 0.000190791
Iteration 111: 0.000002250 0.000164000 0.000148167 0.000214292
Iteration 112: 0.000005209 0.000178708 0.000196125 0.000108917
Iteration 113: 0.000003584 0.000232083 0.000118334 0.000129709
Iteration 114: 0.000003333 0.000164042 0.000125125 0.000150833
Iteration 115: 0.000002333 0.000164334 0.000172583 0.000103833
Iteration 116: 0.000002250 0.000166042 0.000141333 0.000130125
Iteration 117: 0.000002250 0.000198875 0.000138583 0.000101792
Iteration 118: 0.000002250 0.000174709 0.000173375 0.000094458
Iteration 119: 0.000002292 0.000193000 0.000114833 0.000134167
Iteration 120: 0.000002333 0.000156709 0.000142459 0.000138375
Iteration 121: 0.000002750 0.000125042 0.000132625 0.000186125
Iteration 122: 0.000002250 0.000214167 0.000146333 0.000079708
Iteration 123: 0.000002250 0.000207708 0.000214583 0.000023125
Iteration 124: 0.000002334 0.000187167 0.000217209 0.000083041
Iteration 125: 0.000002875 0.000199125 0.000133625 0.000121500
Iteration 126: 0.000003250 0.000203375 0.000195291 0.000069250
Iteration 127: 0.000002333 0.000127875 0.000136667 0.000197625
Iteration 128: 0.000002917 0.000144125 0.000197834 0.000226333
Iteration 129: 0.000005959 0.000200875 0.000139250 0.000182167
Iteration 130: 0.000003042 0.000204583 0.000175750 0.000079625
Iteration 131: 0.000002584 0.000172125 0.000206500 0.000071375
Iteration 132: 0.000002500 0.000125625 0.000171083 0.000158000
Iteration 133: 0.000002333 0.000113708 0.000175208 0.000148541
Iteration 134: 0.000003292 0.000139834 0.000144875 0.000162250
Iteration 135: 0.000002333 0.000130375 0.000132792 0.000182250
Iteration 136: 0.000002333 0.000180292 0.000185667 0.000081625
Iteration 137: 0.000002333 0.000115292 0.000178875 0.000154625
Iteration 138: 0.000002542 0.000198750 0.000159708 0.000092333
Iteration 139: 0.000003584 0.000199042 0.000113292 0.000141041
Iteration 140: 0.000002292 0.000158500 0.000180958 0.000111292
Iteration 141: 0.000002334 0.000190375 0.000149000 0.000106833
Iteration 142: 0.000002292 0.000227125 0.000214917 0.000019084
Iteration 143: 0.000002584 0.000149291 0.000153042 0.000138125
Iteration 144: 0.000002292 0.000213334 0.000170958 0.000044083
Iteration 145: 0.000002208 0.000144792 0.000203750 0.000074917
Iteration 146: 0.000002125 0.000112666 0.000153292 0.000171791
