Configuration: SHA-512 8 2 1000
Iteration 1: 0.000371166 0.004165916 0.005102042 0.000813125
Iteration 2: 0.000308417 0.000878250 0.000737042 0.000262292
Iteration 3: 0.000131375 0.000890458 0.000853125 0.000114750
Iteration 4: 0.000135042 0.000644041 0.000634875 0.000618000
Iteration 5: 0.000128875 0.001146542 0.003268541 0.000557583
Iteration 6: 0.000336375 0.003142583 0.002169459 0.000230958
Iteration 7: 0.000060042 0.000430041 0.000625375 0.000535375
Iteration 8: 0.000049375 0.000598875 0.000528292 0.000267459
Iteration 9: 0.000044875 0.000487125 0.000391917 0.000430125
Iteration 10: 0.000044167 0.000421167 0.000200208 0.000157458
Iteration 11: 0.000042083 0.000203167 0.000175500 0.000163375
Iteration 12: 0.000037958 0.000243125 0.001510334 0.001098917
Iteration 13: 0.000062375 0.000170208 0.000237042 0.000148041
Iteration 14: 0.000037042 0.003831000 0.000793417 0.000370084
Iteration 15: 0.000066250 0.000212667 0.000242625 0.000067833
Iteration 16: 0.000040916 0.000186083 0.000203584 0.000118875
Iteration 17: 0.000036709 0.000233750 0.000202292 0.000063834
Iteration 18: 0.000036917 0.000221958 0.000214250 0.000122834
Iteration 19: 0.000042292 0.000261084 0.000176625 0.000112375
Iteration 20: 0.000039792 0.000165542 0.000181917 0.000157166
Iteration 21: 0.000036750 0.000153459 0.000175541 0.000620250
Iteration 22: 0.000232000 0.000250917 0.000195000 0.000223375
Iteration 23: 0.000041958 0.000192417 0.000200333 0.000117375
Iteration 24: 0.000051250 0.000213125 0.000158917 0.000151333
Iteration 25: 0.000034625 0.000193041 0.000163625 0.000162042
Iteration 26: 0.000034625 0.000198334 0.000184959 0.000218708
Iteration 27: 0.000194458 0.000471250 0.000616417 0.000352458
Iteration 28: 0.000156125 0.000196916 0.000222000 0.000166000
Iteration 29: 0.000075500 0.000188042 0.000205166 0.000175584
Iteration 30: 0.000074167 0.000255750 0.000213833 0.000096166
Iteration 31: 0.000073333 0.000179750 0.000199333 0.000188083
Iteration 32: 0.000073375 0.000263292 0.000166875 0.000140667
Iteration 33: 0.000072917 0.000226583 0.000206875 0.000129333
